Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
CDF - Hakha,11 July 2022,3 July 2023,PDF,2,45,1,0,102,22
Khin-U Support Organization - KSO,2 May 2022,14 May 2023,PDF,1,27,0,0,110,0
Monywa Truth of Force,14 May 2022,26 June 2023,PDF,3,9,0,0,47,0
Saw Bwar Gyi MPDF,5 May 2022,29 January 2023,PDF,3,21,0,0,70,0
Katha PDF,9 October 2021,7 July 2023,PDF,2,41,4,0,234,3
King Cobra Force,22 May 2022,23 May 2023,PDF,6,30,0,0,112,4
Red Hawk PDF,17 September 2022,14 January 2023,PDF,1,8,0,0,20,0
Spring Guerrilla Platoon,17 May 2022,16 May 2023,PDF,5,14,0,0,57,0
Wolf Underground Force - Myaing,29 April 2022,13 June 2023,PDF,3,19,0,2,86,4
CDF - KKG,15 May 2022,11 July 2023,PDF,5,27,0,2,102,12
Generation Z Power - GZP,28 May 2022,27 June 2023,PDF,12,32,2,6,66,5
Myaing Warriors,29 April 2022,23 March 2023,PDF,1,12,0,0,78,2
Ye Baw Nyi Naung Guerrilla Force,7 August 2022,20 April 2023,PDF,1,13,0,0,46,1
Red Wing PDF,22 March 2023,7 July 2023,PDF,5,13,0,0,3,0
Golden Triangle Force (GTF),19 June 2022,19 February 2023,PDF,6,17,0,0,80,0
Galone Guerrilla Force - Myaing,15 May 2022,27 June 2023,PDF,3,17,0,0,44,2
Ko Khaing Lay group,15 May 2022,14 January 2023,PDF,2,9,0,0,24,0
Myaung Farmer Defence Force,18 May 2022,29 January 2023,PDF,3,9,0,0,44,1
Myaung Union Army,15 April 2022,11 March 2023,PDF,4,14,1,0,78,2
Nat Taung Naga PDF,25 April 2022,23 April 2023,PDF,2,33,2,1,106,1
Mandalay District PDF,13 January 2023,27 June 2023,PDF,10,17,0,0,84,1
Dragon Brothers Task Force - DBTF,17 May 2022,5 July 2023,PDF,6,17,1,0,115,1
Homalin PDF,8 July 2022,29 June 2023,PDF,3,29,4,0,153,6
Shwebo Defence Force,4 May 2022,8 July 2023,PDF,3,26,1,2,99,0
Bo Nay Toe Group,5 May 2022,7 April 2023,PDF,3,21,1,0,87,1
Naung Yoe PDF,2 May 2022,12 June 2023,PDF,5,20,1,0,70,0
Ta Man Tiger PDF,6 June 2022,30 May 2023,PDF,5,9,0,0,55,3
Anyar Thar Lay PDF,15 June 2022,6 July 2023,PDF,2,18,0,4,21,0
Pyi Thu Arr Marn PDF,18 September 2022,2 May 2023,PDF,3,12,1,3,26,1
Black Cheetah,15 October 2022,15 June 2023,PDF,3,14,0,0,14,0
Monywa Fighter Group (MFG),2 May 2022,15 May 2023,PDF,4,17,0,1,46,2
Northern Tiger Group-NTG,7 November 2022,1 June 2023,PDF,5,17,1,0,36,0
Salingyi Revolution Army,5 June 2022,3 July 2023,PDF,2,14,0,0,29,0
Theikdishin Taik Nal PDF,15 October 2022,23 June 2023,PDF,2,13,0,0,36,1
Yinmarbin PDF,8 February 2022,3 June 2023,PDF,3,21,25,0,79,3
Central Region Special Task Force,6 April 2022,25 November 2022,PDF,4,24,0,0,73,2
Devil UG Force - MDY,5 May 2022,24 June 2023,PDF,4,28,1,3,54,0
Bo Hnakhan Hmwei PDF,22 July 2022,31 January 2023,PDF,5,9,0,0,73,0
Freeland Attack Force (FLA),18 May 2022,5 July 2023,PDF,18,29,0,0,0,0
Middle Revolution Task Force (MRTF),22 November 2022,8 July 2023,PDF,5,18,0,0,40,1
Myaung Village Armed Force,7 June 2022,11 June 2023,PDF,2,8,1,0,79,0
People's Guerrilla Commando – Myinmu,29 May 2022,2 September 2022,PDF,3,22,0,0,74,0
Naung Yoe Special Guerrilla Force - NYSGF,10 April 2022,10 June 2023,PDF,4,26,0,9,38,0
Black Wolf - Army,21 October 2022,28 June 2023,PDF,3,29,0,0,53,5
Motherland Special Task Force,17 February 2022,4 March 2023,PDF,6,21,0,0,37,3
Special Force 11 PDF,3 May 2022,6 July 2023,PDF,1,22,0,5,37,0
Yoma Fighter,13 May 2022,28 June 2023,PDF,3,7,0,0,53,0
"""Who am I"" PDF",31 December 2022,28 June 2023,PDF,3,26,0,0,49,0
Ayadaw Falcon Force (AF2),11 June 2022,31 March 2023,PDF,2,14,0,0,32,0
MG-6 Guerrilla Force (Myingyan),13 August 2022,26 March 2023,PDF,4,11,0,0,56,1
Rural Guerrilla Force - Myaing,15 May 2022,11 June 2023,PDF,3,14,0,10,66,1
Blood Ties Group,28 April 2022,30 June 2023,SAC,26,48,31,11,29,1
CDF - Kanpetlet,6 September 2021,16 June 2023,PDF,4,38,0,0,123,2
Chindwin Brothers PDF,3 October 2022,2 May 2023,PDF,5,13,0,0,7,0
Paungde PDF,6 May 2022,5 July 2023,PDF,4,47,0,11,39,0
PDF - South Monywa,7 October 2021,18 February 2023,PDF,3,40,0,0,107,0
Special Operation Force - S.O.F,5 September 2022,7 July 2023,PDF,6,27,7,2,73,1
Emerald Girls Army (EGA),25 June 2022,5 July 2023,PDF,17,27,0,0,0,0
Monywa Night King,17 May 2022,26 April 2023,PDF,1,14,2,1,37,0
Nine PDF,4 January 2023,27 June 2023,PDF,3,22,1,1,60,0
Son of Sagaing Without Borders PDF,31 May 2022,10 May 2023,PDF,2,19,0,4,84,0
Yoma Yarzar PDF,24 October 2022,2 May 2023,PDF,5,12,0,1,4,0
Bo Japan Gyi PDF,21 February 2023,1 July 2023,PDF,1,15,0,0,68,0
CDF - Matupi,7 June 2022,6 June 2023,PDF,3,41,6,1,187,5
Flying Dragon Force PDF,24 June 2022,24 April 2023,PDF,2,11,0,0,44,0
Lightning Thunderstorm Force,28 January 2022,8 June 2023,PDF,4,17,0,1,39,0
MPF U-18,3 September 2022,19 May 2023,PDF,2,18,0,4,25,0
Myaung Women Warriors - M2W,2 March 2022,19 November 2022,PDF,5,17,0,0,71,0
Myinmu Defence Force (MMDF),2 February 2022,16 April 2023,PDF,5,15,0,0,18,0
Southern Warriors Defense Force (SWDF),24 May 2022,2 July 2023,PDF,2,16,0,0,21,2
Steel Hawk PDF,6 June 2022,16 April 2023,PDF,3,18,0,0,66,0
Wetlet PDF,7 May 2022,27 June 2023,PDF,4,23,7,1,111,13
Brave Heart Army (BHA),6 August 2022,6 July 2023,PDF,4,23,0,5,50,0
Madaya PDF,2 May 2022,9 July 2023,PDF,4,30,1,1,135,3
