Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Shwe Pyi Thar Underground Group (SPTUG),5 June 2022,11 September 2022,PDF,1,4,0,1,0,0
Sinbaungwe PDF,29 December 2022,18 January 2023,PDF,1,4,0,2,0,0
Special Revolution Force - SRF,5 July 2023,7 July 2023,PDF,1,2,0,0,0,0
Ta Man Taw Yek Nway Oo Ye Baw PDF,16 November 2022,16 November 2022,PDF,1,1,0,4,0,0
TCRLFPLA,17 September 2022,17 September 2022,PDF,1,1,0,0,0,0
TGYRc PDF - Ngazun,16 November 2022,16 November 2022,PDF,1,1,0,4,0,0
Thayet PDF,30 May 2022,13 June 2022,PDF,2,4,0,1,0,0
Thongwa Youth Force - TYF,10 April 2022,10 April 2022,PDF,1,3,0,0,0,0
Thunder - HPDF,3 February 2023,3 February 2023,PDF,1,1,0,0,20,2
Thway Thouk Thit Sar PDF,8 June 2022,14 January 2023,PDF,1,2,0,0,0,0
Underground Lightning Force,2 February 2023,5 February 2023,PDF,2,3,0,3,4,0
Wa Ra Zein PDF,1 January 2023,1 January 2023,PDF,1,1,0,0,0,0
Wah Yeik Khun Arr Guerrilla Force,4 April 2023,4 April 2023,PDF,1,1,0,0,1,0
Wakema PDF,22 October 2022,2 April 2023,PDF,1,2,0,0,0,0
Yangon Revolution Force,13 March 2023,13 March 2023,PDF,1,1,0,0,5,0
Yay Kin PDF,4 December 2022,4 December 2022,PDF,1,1,0,0,30,0
Yedashe Phoenix Urban Guerrila,15 November 2022,4 July 2023,PDF,2,2,0,1,0,0
YGN – Burmese Rangers Army – LDF,18 May 2022,8 July 2022,PDF,1,2,0,0,3,0
Young Rangers Force,6 August 2022,6 August 2022,PDF,1,1,0,0,0,0
Youth Special Attack Force,29 December 2022,29 December 2022,PDF,1,1,0,0,0,0
101 PDF,5 July 2022,5 July 2022,PDF,1,1,0,0,7,0
21-Guerrilla Force Kyaukpadaung,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Anyar Revolution,28 November 2022,28 November 2022,PDF,1,1,0,0,3,0
Arnt Bwar Falcon PDF,9 April 2023,9 April 2023,PDF,1,1,0,0,1,0
Bagan Heroes Guerrilla Force (B.H.G.F),19 May 2022,19 May 2022,PDF,1,1,0,0,3,0
Black Brugon LPDF,9 September 2022,9 September 2022,PDF,1,1,0,0,3,0
Black Joker PDF,23 January 2023,28 January 2023,PDF,2,2,0,0,7,0
Black Tiger PDF,5 December 2022,6 March 2023,PDF,2,2,0,0,9,0
Bo Mar Ga PDF,4 January 2023,4 January 2023,PDF,1,1,0,0,0,0
Boe Taw Ni PDF - Salingyi,16 April 2022,16 April 2022,PDF,1,2,0,0,0,1
Burmese Dragon Force,25 April 2022,1 February 2023,PDF,2,2,0,0,0,0
Burmese Python PDF,24 October 2022,24 October 2022,PDF,1,1,0,0,2,0
CDF - Senthang,8 May 2023,11 May 2023,PDF,1,2,0,0,0,2
Cobra PDF - Budalin,24 July 2022,24 July 2022,PDF,1,2,0,0,0,0
COLUMN-1 PDF,31 October 2022,31 October 2022,PDF,1,1,0,0,0,1
Daik-U Defence Force (DDF),26 February 2023,26 February 2023,PDF,1,2,0,0,2,0
Daung Yazar UG Force,31 October 2022,22 February 2023,PDF,1,3,0,0,2,0
Demon Revolution Army,5 May 2023,8 May 2023,PDF,2,2,0,0,0,0
Dragon Squad,17 January 2023,17 January 2023,PDF,1,1,0,0,5,0
Eastern Red Lion,3 September 2022,27 September 2022,PDF,2,2,0,0,0,0
Falcon PLGF,23 January 2023,23 January 2023,PDF,1,1,0,0,0,0
Fear No Evil,19 August 2022,7 January 2023,PDF,2,2,0,0,0,0
Federal column of PDF,7 July 2022,7 July 2022,PDF,1,2,1,0,7,3
Federal Liberation Army (HTY-Battalion),11 July 2022,26 July 2022,PDF,2,2,0,0,0,0
Fighter Police,8 September 2022,8 September 2022,PDF,1,1,0,0,3,0
Free Fighter Force,13 June 2022,24 July 2022,PDF,2,3,0,0,0,0
FRT,8 September 2022,8 September 2022,PDF,1,1,0,0,3,0
Galaxy Force (Depayin PDF),7 July 2022,7 July 2022,PDF,1,1,0,0,12,0
Hurricane Drone Scout Team,7 July 2023,7 July 2023,PDF,1,1,0,0,0,0
Inntakaw PDF,7 September 2022,22 December 2022,PDF,1,3,0,1,2,0
Kawlin Revolution (KR),11 May 2023,11 May 2023,PDF,1,1,0,0,6,1
KDF PDF Khin-U,18 May 2023,18 May 2023,PDF,1,1,0,0,0,0
KF PDF,2 June 2023,2 June 2023,PDF,1,1,1,0,0,0
KIA PDF,22 May 2022,22 May 2022,PDF,1,1,0,0,20,0
KPG Black Soldiers UG,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
KPG Complex UG,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
Kya Khat Aik PDF,9 April 2023,9 April 2023,PDF,1,2,0,0,3,0
Kyar Village PDF,9 September 2022,9 September 2022,PDF,1,1,0,0,3,0
Last Battle (PDF),19 September 2022,10 December 2022,PDF,2,3,0,0,0,0
Lodestar Defence Force,4 February 2023,4 February 2023,PDF,1,1,0,0,0,0
MGZ PDF,22 May 2022,22 May 2022,PDF,1,1,0,0,20,0
Monywa Black Boys (MBB),5 September 2022,5 September 2022,PDF,1,1,0,0,0,0
Monywa Support Team PDF - MST PDF,13 February 2023,13 February 2023,PDF,1,1,0,0,5,0
Monywa Thway Kyway PDF,17 November 2022,17 November 2022,PDF,1,1,0,0,2,0
Mother Love PDF,13 January 2023,13 January 2023,PDF,1,1,0,0,2,0
MP9 PDF,12 November 2022,12 November 2022,PDF,1,1,0,0,2,0
Mway Paing Taung PDF,21 August 2022,7 October 2022,PDF,1,2,0,0,17,0
Myanmar Underground PDF,29 May 2022,18 February 2023,PDF,3,4,0,0,0,0
Myaung and One LPDF,7 October 2022,7 October 2022,PDF,1,1,0,2,0,0
Myaungmya District PDF,3 September 2022,22 October 2022,PDF,2,2,0,0,0,0
North Sparrow PDF,15 February 2023,15 February 2023,PDF,1,1,0,0,4,0
Palaw Shadow Guerrilla Force,8 November 2022,2 January 2023,PDF,1,2,0,0,0,0
Pale Guerilla Ranger PDF,10 August 2022,10 August 2022,PDF,1,1,0,0,0,0
PDF Kyaukpadaung,13 May 2022,13 May 2022,PDF,1,1,0,0,0,0
People Security & Defence Army,4 May 2022,19 May 2023,PDF,2,2,0,0,22,2
Pyi Thu Yaung Ni PDF,30 May 2023,30 May 2023,PDF,1,1,0,0,9,0
Pyin Oo Lwin District PDF,28 October 2022,13 December 2022,PDF,2,2,0,2,0,0
Sagaing Thunder Guerilla Group,22 January 2022,29 May 2023,PDF,2,2,0,0,2,0
Savior Revolution Force,26 March 2023,28 March 2023,PDF,1,2,0,0,2,0
Say Yar PDF,10 December 2022,10 December 2022,PDF,1,1,0,0,5,2
Seath Fighter,17 January 2023,17 January 2023,PDF,1,1,0,0,5,0
Shadow Rangers Salingyi - SRS,7 July 2023,7 July 2023,PDF,1,1,0,0,0,0
Shanni People's Defence Group,26 June 2022,27 June 2022,PDF,1,2,0,0,17,0
Singu Guerrilla Force,4 May 2022,29 January 2023,PDF,1,2,0,1,12,0
Singu Peacock King Guerrilla Force,15 June 2022,28 March 2023,PDF,1,3,0,1,0,6
Spring PDF,30 October 2022,26 May 2023,PDF,2,2,0,0,3,0
Tamu Special Task Force,22 June 2022,28 July 2022,PDF,1,2,0,0,8,0
Taung Pine Hnget Kyi Taung Group,4 February 2023,4 February 2023,PDF,1,1,0,0,6,0
Thayarwaday Galone PDF,8 August 2022,19 December 2022,PDF,1,3,0,1,0,0
UG Black K,15 July 2022,28 January 2023,PDF,1,4,0,0,2,0
Ultimate Revolutionary Movement Team PDF,5 June 2022,5 July 2022,PDF,3,3,0,4,0,0
Urban Guerrilla Force - Kume,5 September 2022,10 December 2022,PDF,1,2,0,1,0,0
Urban Revolution Force (URF - Bhamo),19 May 2022,10 August 2022,PDF,1,3,0,1,2,0
Urban War Task Force,26 October 2022,26 October 2022,PDF,1,1,0,0,0,0
Yangon UG Association (YUA),24 June 2022,27 September 2022,PDF,2,3,0,0,0,0
Yaw Defence Force,30 April 2022,8 June 2022,PDF,1,3,0,0,15,0
Ye Joker Force (YJF),17 January 2023,17 January 2023,PDF,1,1,0,0,5,0
Yesagyo Federal Army,1 March 2023,1 March 2023,PDF,1,2,0,0,4,0
Yoma Ayeyarwaddy PDF,1 July 2022,6 August 2022,PDF,2,2,0,1,0,0
Ywar Zaw Gyi Taw Hlan A Than PDF,30 March 2023,6 July 2023,PDF,1,2,0,0,1,0
"""Myanmar For"" PDF",11 January 2023,11 January 2023,PDF,1,1,0,0,1,0
5/99 PDF,2 December 2022,2 December 2022,PDF,1,1,0,0,2,0
Anchor Force,23 October 2022,23 October 2022,PDF,1,1,0,0,1,0
Anonymous Mission Team Alpha PDF,6 April 2023,6 April 2023,PDF,1,1,0,0,0,0
Ba Yint Naung Army,29 November 2022,29 November 2022,PDF,1,1,0,0,5,0
Banmauk People's Security Forces,18 July 2022,19 July 2022,PDF,1,2,0,0,0,0
Black Dragon Force Pyapon,23 August 2022,30 November 2022,PDF,1,2,0,2,0,0
Bo Mae Dit Guerrilla Force,10 December 2022,10 December 2022,PDF,1,1,0,0,2,0
Bravest Attack Force,30 December 2022,30 December 2022,PDF,1,1,0,0,0,0
Chindwin Young Heroes PDF (CDYH),28 May 2022,28 May 2022,PDF,1,1,0,0,15,0
Chit Nge Force,22 November 2022,22 November 2022,PDF,1,1,0,0,5,0
Dark Phoenix Revolution Force,16 May 2022,26 June 2022,PDF,2,2,0,0,0,0
Daung Guerrilla Force,12 August 2022,12 August 2022,PDF,1,1,0,0,10,0
Dawei National Liberation Army - DNLA,31 May 2023,31 May 2023,PDF,1,1,1,0,10,0
Depayin Students PDF,4 December 2022,4 December 2022,PDF,1,1,0,0,0,0
DGF (Lower Chindwin) - Budalin,8 May 2022,8 May 2022,PDF,1,1,0,0,15,0
Divine Warriors Force,24 December 2022,24 December 2022,PDF,1,1,0,0,3,0
G-6 Stars Guerrilla Force,17 November 2022,20 November 2022,PDF,2,2,0,2,0,0
Genius Satan LPDF,29 January 2023,29 January 2023,PDF,1,1,0,0,0,0
Inya Urban Force,28 July 2022,24 September 2022,PDF,2,2,0,3,0,0
Justice Bringer Force - JBF,28 January 2022,30 May 2022,PDF,3,4,0,0,0,0
Kamma Underground PDF,27 June 2023,27 June 2023,PDF,1,1,0,0,6,0
KCNDF,28 December 2022,28 December 2022,PDF,1,1,0,0,7,0
Khin-U Urban Guerrilla,23 December 2022,12 March 2023,PDF,1,2,0,0,11,0
Khut Daung Thway Man PDF,10 January 2023,10 January 2023,PDF,1,1,0,0,0,0
KM18 - Black Spaciow Squad (BSS),22 March 2023,22 March 2023,PDF,1,2,0,0,0,0
Ko Ba Thar PDF,30 March 2023,30 March 2023,PDF,1,1,0,0,0,0
Koe Taung Kyar PDF,2 May 2022,2 May 2022,PDF,1,1,0,0,20,0
Kyaikhto Revolution and Information Network (PDF),3 May 2022,5 January 2023,PDF,1,2,0,0,1,0
Kyaiklat PDF,14 May 2022,23 August 2022,PDF,1,2,0,0,0,0
Kyauk Pyin Thar PDF,17 February 2023,17 February 2023,PDF,1,1,18,0,30,0
Labyrinth PDF,17 December 2022,17 December 2022,PDF,1,1,0,0,11,0
LGRF,17 October 2022,17 October 2022,PDF,1,1,0,0,0,0
Liberty Thunder PDF,6 April 2023,6 April 2023,PDF,1,1,0,0,0,0
Lin Lett Kyal PDF,17 November 2022,23 March 2023,PDF,1,2,0,2,0,0
Load Star PDF,12 May 2022,12 May 2022,PDF,1,1,0,0,5,0
Local Defence Force of Dragon,7 February 2023,7 February 2023,PDF,1,1,3,0,5,0
Mandalay UG Wolf Army,15 October 2022,12 November 2022,PDF,2,2,0,0,1,0
Maze Guerrilla Force,30 December 2022,30 December 2022,PDF,1,1,0,0,0,0
Mighty Force (Ta Goe Shin),26 April 2023,26 April 2023,PDF,1,1,0,0,0,0
Mild Seven Force,26 April 2023,26 April 2023,PDF,1,1,0,0,0,0
Mindon PDF,29 January 2022,29 May 2023,PDF,2,2,2,0,1,10
Mine Baluu Force,3 February 2023,3 February 2023,PDF,1,1,0,0,5,0
MO-4,26 August 2022,28 August 2022,PDF,2,2,0,0,0,0
Moe U PDF,16 July 2022,16 July 2022,PDF,1,1,0,0,0,0
Monywa Generation PDF,14 October 2022,14 October 2022,PDF,1,1,0,0,3,0
Monywa Urban Guerrilla Force,12 September 2022,30 April 2023,PDF,1,3,0,0,5,1
Mother Son PDF - Wetlet,9 January 2023,9 January 2023,PDF,1,1,0,0,0,0
MSTF.EAGLE SQUADRON,20 October 2022,20 October 2022,PDF,1,1,0,0,3,0
Myaing Rural Guerrilla Force - MRGF,13 March 2023,13 March 2023,PDF,1,1,0,0,5,0
Myaung PDF (CDSOM),30 April 2022,30 April 2022,PDF,1,1,0,0,3,0
MYD – Myanmar Rangers Forces – MMRF,18 May 2022,18 May 2022,PDF,1,1,0,0,1,0
Na Pa Ta Cyber group,15 May 2022,15 May 2022,PDF,1,1,0,0,15,0
Nay Pyi Taw Phaung Daing Group,24 August 2022,24 August 2022,PDF,1,1,0,0,1,0
Non-frontier Sagaing PDF,28 May 2022,10 June 2022,PDF,1,2,0,0,0,0
Northern Pauk Revolution Front (NPRF),14 April 2023,14 April 2023,PDF,1,1,0,0,3,0
Northokkalapa PDF - NOKA,25 July 2022,5 April 2023,PDF,1,4,0,0,0,0
NUG Battalion 1005,12 September 2022,12 September 2022,PDF,1,1,0,0,20,0
NUG Battalion 1009,12 September 2022,12 September 2022,PDF,1,1,0,0,20,0
NUG Battalion 1801,24 June 2023,24 June 2023,PDF,1,2,0,0,0,0
NUG Battalion 510,19 January 2023,11 June 2023,PDF,2,2,0,0,3,0
People Spirit Force (PSF) MGN 9 Stars,6 May 2023,6 May 2023,PDF,1,1,0,0,20,0
People's Shadow Guerilla Force - PSGF,1 July 2022,3 October 2022,PDF,1,2,0,0,0,0
Pin Lel Pyaw Revolution Force,28 September 2022,28 September 2022,PDF,1,1,0,0,0,0
Pyinsaman PDF,15 January 2023,3 February 2023,PDF,1,2,0,0,2,0
Rioters,14 March 2021,17 May 2023,Civilian,4,4,0,0,0,0
Rising King Revolution Alliance,17 November 2022,17 November 2022,PDF,1,1,0,0,0,0
Royal Brother Defence Force,6 May 2023,6 May 2023,PDF,1,1,0,0,20,0
Salingyi Revolution Eagle's PDF,12 October 2022,12 October 2022,PDF,1,1,0,0,0,0
San Shay Ko Sai PDF,11 January 2023,11 January 2023,PDF,1,1,0,0,1,0
Sea Storm Force,26 April 2023,26 April 2023,PDF,1,1,0,0,0,0
Shwe Daung Yin PDF,22 July 2022,22 July 2022,PDF,1,1,0,0,0,0
Shwegyin PDF,14 September 2022,9 October 2022,PDF,1,2,0,0,0,0
Sittaung Guerrilla Force,16 March 2023,16 March 2023,PDF,1,1,0,0,20,0
Southern Young Boys Group,25 November 2022,25 November 2022,PDF,1,1,0,0,0,0
Spring Storm Force,29 November 2022,29 November 2022,PDF,1,1,0,0,5,0
Swel Taw PDF,1 May 2022,1 May 2022,PDF,1,1,0,0,3,0
Tabayin PDF,1 May 2022,1 May 2022,PDF,1,1,0,0,3,0
Taze PDF - 25,19 April 2023,19 April 2023,PDF,1,1,0,0,2,0
Tha Hpan Seik Alliance Force,15 August 2022,15 August 2022,PDF,1,1,0,0,0,0
Thayet District PDF,8 February 2023,15 February 2023,PDF,2,2,0,0,4,0
TRLF,16 October 2022,16 October 2022,PDF,1,1,0,0,0,0
Underground Revolution Knights Force (URKF),22 March 2023,22 March 2023,PDF,1,2,0,0,0,0
Urban Owls Guerilla Force,24 March 2023,19 June 2023,PDF,2,2,0,2,0,0
UWSA / UWSP - United Wa State Army - United Wa State Party,30 June 2022,30 June 2022,EAO,1,1,0,0,0,0
Warriors of Liberation Force (WOLF),10 April 2023,10 April 2023,PDF,1,1,0,0,2,0
Wetlet Prince PDF,5 March 2023,5 March 2023,PDF,1,1,0,0,18,0
White Dragon Column,21 June 2023,21 June 2023,PDF,1,1,0,0,8,1
WI AG Production and Attack Force,23 March 2023,23 March 2023,PDF,1,1,0,0,0,0
Wimoutti Liberation Rebel PDF,20 July 2022,8 August 2022,PDF,2,2,0,1,0,0
X Force Army,28 February 2023,28 February 2023,PDF,1,1,1,0,3,0
Yae Mway Group,2 May 2022,2 May 2022,PDF,1,1,0,0,20,0
Yangon Galone Razar Force (YGRF),24 May 2022,27 September 2022,PDF,2,2,0,0,0,0
Yangon Special Guerrilla Force(YSGF),12 September 2022,3 November 2022,PDF,2,2,0,0,0,0
Yangon Underground Youth Organization – YUYO,5 December 2022,5 December 2022,PDF,1,1,0,0,0,0
Yaw Defence Force - Htilin,2 May 2022,14 June 2022,PDF,2,2,0,0,4,0
Yay Kyat Force,3 February 2023,3 February 2023,PDF,1,1,0,0,5,0
Ye Khaung PDF,4 January 2023,4 January 2023,PDF,1,1,0,0,0,0
Ye-U Urban Guerrilla Force,12 July 2022,12 July 2022,PDF,1,1,4,0,2,0
Yesagyo Bo Gyoke PDF,22 March 2023,22 March 2023,PDF,1,1,0,0,1,0
Young Defense Power Force,25 August 2022,30 September 2022,PDF,1,2,0,0,0,0
Zayar Taing PDF,16 January 2023,16 January 2023,PDF,1,1,0,0,2,0
21 Burma PDF,1 November 2022,1 November 2022,PDF,1,1,0,0,0,0
5.0.2 Guerilla,13 May 2022,13 May 2022,PDF,1,1,0,0,5,0
925 Guerrilla Force,24 May 2023,24 May 2023,PDF,1,1,0,2,0,0
Alpha One Drone,11 May 2023,11 May 2023,PDF,1,1,0,0,0,0
Ayadaw Rocket LPDF,4 July 2023,4 July 2023,PDF,1,1,0,0,3,0
Ayeyarwaddy Daung Ta Marn PDF,1 July 2022,13 July 2022,PDF,1,2,0,0,0,0
Ayeyarwaddy UG Association,28 July 2022,28 July 2022,PDF,1,1,0,0,0,0
Ba Hin Village PDF,11 November 2022,11 November 2022,PDF,1,2,0,0,3,0
Black Brother PDF,25 July 2022,25 July 2022,PDF,1,1,0,0,2,0
Black Death King PDF,6 May 2022,25 January 2023,PDF,2,2,0,0,4,0
Black Wolf Soldiers Commando,30 September 2022,30 September 2022,PDF,1,1,0,0,0,0
Bo Lat Yar PDF - Myaing,30 May 2023,30 May 2023,PDF,1,1,0,0,8,0
Bo Mee Tauk Group,22 May 2022,22 May 2022,PDF,1,1,0,0,0,0
Bo Pwa Gyi Group,24 March 2023,24 March 2023,PDF,1,1,0,0,1,0
Bo Tathaung People’s Defense Force - BTT PDF,15 May 2023,15 May 2023,PDF,1,1,0,0,3,0
Brother Wolf Guerrilla Revolution Force (B.W.G.R.F),8 July 2023,8 July 2023,PDF,1,1,0,0,4,0
Brotherhood of Dragon LDF,23 March 2023,23 March 2023,PDF,1,1,0,0,3,0
Brothers Of Lands Defence Force,24 July 2022,24 July 2022,PDF,1,1,0,0,6,0
Cobra PDF - Tanintharyi,6 June 2022,24 August 2022,PDF,1,2,0,0,0,0
Dark Side Revolution Burma,4 May 2023,4 May 2023,PDF,1,1,0,0,0,0
Dawei Defense Force (D.D.F),15 February 2023,15 February 2023,PDF,1,1,0,0,5,0
Depayin Generation-Z,28 January 2022,28 January 2022,PDF,1,1,0,0,0,0
Divine Ranger Force - DRF,17 August 2022,17 November 2022,PDF,2,2,0,0,0,0
Done Wone PDF,15 August 2022,15 August 2022,PDF,1,1,0,0,0,0
Dragon Army (UG),9 June 2023,9 June 2023,PDF,1,1,0,0,0,0
FFP PDF,10 July 2022,10 July 2022,PDF,1,1,0,0,6,0
Fox Brothers PDF,28 June 2023,28 June 2023,PDF,1,1,0,0,1,0
Freedom Without Borders Federal Force,5 July 2023,5 July 2023,PDF,1,1,0,0,2,0
Hawk PDF,18 December 2022,18 December 2022,PDF,1,1,1,0,3,0
Hmawbi PDF,17 December 2022,17 December 2022,PDF,1,1,0,0,0,0
HPA AN GUERILLA FORCE - HGF,12 April 2023,28 June 2023,PDF,1,2,0,0,3,0
HPS PDF,19 September 2022,19 September 2022,PDF,1,1,0,0,0,0
Joker Generation Z PDF,28 October 2022,28 October 2022,PDF,1,1,0,0,1,0
Justice Urban Guerrilla Force,4 May 2023,4 May 2023,PDF,1,1,0,0,0,0
Ka Tu PDF,22 September 2022,22 September 2022,PDF,1,2,0,0,0,0
Kawlin People's Security Force,27 April 2023,27 April 2023,PDF,1,1,0,0,0,7
Kings Cobra Guerrilla Alliance (KCGA),19 June 2022,19 June 2022,PDF,1,1,0,0,0,0
Kyaikhto Revolution Force,24 May 2022,29 July 2022,PDF,2,2,0,2,0,0
Kyaukkhe Urban Guerrilla Force,7 January 2023,7 January 2023,PDF,1,1,0,0,1,0
Kyunhla District PDF,29 May 2022,29 May 2022,PDF,1,1,0,0,0,0
Labour Liberated Force (LLF),11 May 2022,15 May 2022,PDF,2,2,0,0,0,0
Lack of Shadow Guerrilla Force - Pyay District,18 August 2022,18 August 2022,PDF,1,2,0,2,0,0
Law Ka Par La PDF,15 August 2022,15 August 2022,PDF,1,1,0,0,0,0
Lieutenant Lightning PDF,28 December 2022,28 December 2022,PDF,1,1,0,0,0,0
Magway District PDF (Drone Battalion),7 May 2023,7 May 2023,PDF,1,1,0,0,0,0
Mahuya PDF,5 December 2022,5 December 2022,PDF,1,1,0,0,0,0
Meiktila Black Eagle PDF,9 January 2023,13 January 2023,PDF,1,2,0,0,7,3
MGN Revolution PDF,28 October 2022,28 October 2022,PDF,1,1,0,0,1,0
Minbu Saku PDF,22 May 2022,16 April 2023,PDF,2,2,0,1,0,0
Moe Lay PDF,28 February 2023,28 February 2023,PDF,1,1,1,0,0,0
Moe Ma Kha Underground Revolution Force,28 June 2023,28 June 2023,PDF,1,1,0,0,1,0
Monywa Fire Group,16 June 2023,16 June 2023,PDF,1,1,0,0,3,0
Monywa Heroes Group (MHG),15 May 2022,15 May 2022,PDF,1,1,0,0,4,0
Mother's Sons - Three Tigers PDF,4 April 2023,4 April 2023,PDF,1,1,0,0,3,0
Myinse PDF,22 January 2023,22 January 2023,PDF,1,1,0,0,0,0
National Revolution Guerrilla - NRG,22 May 2022,22 May 2022,PDF,1,1,0,0,0,0
Never Die Defence Force - NDDF,10 August 2022,3 December 2022,PDF,2,2,0,0,0,0
Nga Pyay Ma Guerilla Force,19 October 2022,19 October 2022,PDF,1,1,0,0,0,0
Northern Shan State Alliance Army,18 September 2022,2 November 2022,PDF,1,3,0,0,2,0
Nway Oo FM,8 February 2023,8 February 2023,PDF,1,1,0,0,0,0
Our City,9 June 2023,9 June 2023,PDF,1,1,0,0,0,0
P.C-UGF,21 October 2022,21 October 2022,PDF,1,1,0,0,0,0
Palaw People's Defence Force,31 October 2022,31 October 2022,PDF,1,1,0,0,0,0
PDF South Monywa,24 September 2022,24 September 2022,PDF,1,1,0,0,0,0
Peacock Emperor PDF,27 September 2022,27 September 2022,PDF,1,2,0,0,4,0
Pinlebu Revolution (PR),30 September 2022,1 October 2022,PDF,1,2,0,0,6,0
Sagaing Special Operation Forces (SSOF),5 May 2022,5 May 2022,PDF,1,1,0,0,0,0
SDB PDF,2 September 2022,2 September 2022,PDF,1,1,0,0,0,0
Shadow Guerrilla PDF,10 July 2022,10 July 2022,PDF,1,1,0,0,0,0
Shwegu PDF,27 May 2022,21 November 2022,PDF,1,2,0,0,0,0
SIA PDF,27 September 2022,27 September 2022,PDF,1,1,0,0,0,0
Southern Heroes PDF,15 May 2022,15 May 2022,PDF,1,1,0,0,3,0
Special Underground - Kalay,27 March 2023,27 March 2023,PDF,1,2,0,0,1,0
Spring Revolution Warriors,27 September 2022,27 September 2022,PDF,1,1,0,0,0,0
Steel Guerilla PDF,15 February 2023,15 February 2023,PDF,1,1,0,0,5,0
Tada-U PDF,26 May 2023,26 May 2023,PDF,1,1,0,5,0,0
Taung Yoe Thar Myar PDF,10 November 2022,10 November 2022,PDF,1,1,0,0,0,0
Taungdwingyi PDF,2 August 2022,2 August 2022,PDF,1,1,0,1,0,0
Thayarwady Urban Guerrilla Force,26 March 2022,5 August 2022,PDF,1,2,0,0,0,0
Tigers Five Urban Guerrilla Force,1 September 2022,21 September 2022,PDF,2,2,0,1,0,0
TYB PDF,24 December 2022,24 December 2022,PDF,1,1,0,0,2,0
UAV PDF,13 February 2023,13 February 2023,PDF,1,1,0,0,0,0
United Burmese Revolution Squad (Myaing Villagers),9 October 2022,9 October 2022,PDF,1,1,0,0,0,0
Unity Special Task Force -Mandalay,12 July 2022,6 November 2022,PDF,2,2,0,0,0,0
Urban Revolution Front - URF,25 August 2022,25 August 2022,PDF,1,1,0,0,0,0
Voice of Mandalay Group,28 January 2022,24 December 2022,PDF,2,2,0,0,0,0
Weapons Productions - YMB PDF,13 April 2022,13 April 2022,PDF,1,1,0,0,10,0
Wun Tha Par La PDF,11 March 2023,11 March 2023,PDF,1,1,0,0,5,0
Yae Kyaw Fighters,6 June 2023,6 June 2023,PDF,1,1,0,0,4,0
Yangon Based Students Association (BO-2),9 October 2022,9 October 2022,PDF,1,1,0,0,0,0
Yangon Liberation Force (YLF),1 May 2022,4 August 2022,PDF,1,2,0,2,0,0
Yangon Region Federal Army (YRFA),17 December 2022,17 December 2022,PDF,1,1,0,0,0,0
Yangon-e UG PDF,16 May 2022,25 July 2022,PDF,3,3,0,0,2,0
Yatanabon Phoenix Guerrilla Force - YPGF,20 April 2022,27 April 2022,PDF,2,2,0,0,0,0
Yaung Ni Gen Z PDF,5 July 2023,5 July 2023,PDF,1,1,15,0,19,0
YGA PDF,10 July 2022,10 July 2022,PDF,1,1,0,0,6,0
YOMA (GBK) PDF,16 April 2023,16 April 2023,PDF,1,1,0,0,2,0
Youth Viper PDF,24 September 2022,24 September 2022,PDF,1,1,0,0,0,0
Ywangan Urban Guerrilla,27 June 2022,13 December 2022,PDF,1,2,0,0,0,0
Zay Yar Brothers Guerrilla Force,16 September 2022,2 November 2022,PDF,1,2,0,3,0,0
Alawaka Guerrilla Force,17 August 2022,17 August 2022,PDF,1,1,0,0,0,0
Angry Bird Drone Rangers,23 October 2022,23 October 2022,PDF,1,1,0,0,3,0
Anonymous Urban Guerrillas,18 July 2022,18 July 2022,PDF,1,1,0,1,1,0
Assassin For Justice (AFJ),9 May 2022,21 July 2022,PDF,1,2,0,3,0,0
Aung Myittar PDF,2 January 2023,2 January 2023,PDF,1,1,0,0,4,0
Banmauk Revolution - BR,20 May 2023,20 May 2023,PDF,1,1,0,0,0,0
Bee Fighters Revolution Army – BFRA,31 December 2022,31 December 2022,PDF,1,1,0,0,0,0
Blood Debt For 21 (BD-21),12 September 2022,12 September 2022,PDF,1,1,0,0,0,0
Bo Than Lone PDF,25 July 2022,25 July 2022,PDF,1,1,0,0,10,0
Bo Yar Ma PDF,8 February 2023,8 February 2023,PDF,1,1,0,0,0,0
Bo Yay Khae PDF,29 August 2022,29 August 2022,PDF,1,1,0,0,30,0
Burma Royal Guerrilla Force,25 September 2022,25 September 2022,PDF,1,1,0,0,0,0
Central Armed Force - Seikphyu PDF,19 October 2022,19 October 2022,PDF,1,1,0,0,0,0
Central Revolutionary Coalition (CRC - PLA),27 March 2023,27 March 2023,PDF,1,1,0,0,1,0
Chattin Revolution - CTN-R PDF,31 May 2022,31 May 2022,PDF,1,1,0,0,0,5
City - Dawna PDF,20 July 2022,20 July 2022,PDF,1,1,0,0,0,0
Craft of Grim Reaper PDF - Maubin,31 August 2022,31 August 2022,PDF,1,1,0,0,0,0
Dawei Defense Team,17 May 2022,17 May 2022,PDF,1,1,0,0,0,0
Defense Team - Pakokku,19 September 2022,19 September 2022,PDF,1,1,0,0,6,0
