SR,Township,Town,Ward,Ward_MMR,,,
Magway,Pakokku,Pakokku Town,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (13) Ward,အမှတ် (၁၃) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (14) Ward,အမှတ် (၁၄) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (15) Ward,အမှတ် (၁၅) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (8) Ward,အမှတ် (၈) ရပ်ကွက်,,,
Magway,Pakokku,Pakokku Town,No (9) Ward,အမှတ် (၉) ရပ်ကွက်,,,
Magway,Pauk,Pauk Town,Aung Chan Thar Ward,အောင်ချမ်းသာ ရပ်ကွက်,,,
Magway,Pauk,Pauk Town,Aung Ta Khon Ward,အောင်တံခွန်ရပ်ကွက်,,,
Magway,Pauk,Pauk Town,Aung Taw Mu Ward,အောင်တော်မူ ရပ်ကွက်,,,
Magway,Pauk,Pauk Town,Shwe Pauk Pin Ward,ရွှေပေါက်ပင် ရပ်ကွက်,,,
Magway,Pwintbyu,Pwintbyu Town,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,,,
Magway,Pwintbyu,Pwintbyu Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Magway,Pwintbyu,Pwintbyu Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Magway,Pwintbyu,Pwintbyu Town,Thet Taw Shey Ward,သက်တော်ရှည်ရပ်ကွက်,,,
Magway,Salin,Salin Town,Kyaung Kyar Ward,ကျောင်းကြားရပ်ကွက်,,,
Magway,Salin,Salin Town,Myay Mi Kone Ward,မြေမိကုန်းရပ်ကွက်,,,
Magway,Salin,Salin Town,Myin Tin Ward,မြင်တင်ရပ်ကွက်,,,
Magway,Salin,Salin Town,Paung Nar Ward,ပေါင်းနားရပ်ကွက်,,,
Magway,Salin,Salin Town,Paung Pin Zin Ward,ပေါင်းပင်ဇင်းရပ်ကွက်,,,
Magway,Salin,Salin Town,Pu Htoe Hpyu Ward,ပုထိုးဖြူရပ်ကွက်,,,
Magway,Salin,Salin Town,Sar Si Kyaung Ward,စာစီကျောင်းရပ်ကွက်,,,
Magway,Salin,Salin Town,Zay Ma Ward,ဈေးမရပ်ကွက်,,,
Magway,Salin,Sinphyukyun Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Salin,Sinphyukyun Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Magway,Salin,Sinphyukyun Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Magway,Saw,Kyaukhtu Town,Gon Bo Ward,ဂုံဘိုရပ်ကွက်,,,
Magway,Saw,Kyaukhtu Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Magway,Saw,Kyaukhtu Town,Nat Ye Ward,နတ်ရဲရပ်ကွက်,,,
Magway,Saw,Saw Town,Thi Ri Ward,သီရိရပ်ကွက်,,,
